sentiment,text_lemmatized
0,terminar bien abrumar después hoy
0,sentir abrumado cantidad cosa querer dibujar ver jugar leer odio sensación xdddd
0,denmir helado ar full abrumado
0,microcuento vez motivo aparente bien razón quizás fútil venir encima uno nostalgia inmenso dejar paralizado abrumado heraldo negro hablar vallejo
0,sentir abrumado
0,entonces aprendimos si desbordado aguantar dos razón hambrir sueño hoy resultar ser segundo hijo dormido p m
0,ver presidente ego desbordado aire superioridad bastantante indolencio tragedia vivir pais
0,dio desbordado
0,termino lavar loza tomo vaso agua desbordado plato olla sucio
0,simplemente obstruí inodoro comenzar desbordado ataque pánico así usé émbolo tanto jodidamente tonto luego comenzar desbordar él aún luego comencé temblar poner toalla alrededor fondo baño hacer
0,decir mismo importante ver cómo levantar mañana músculo deber sobrecargar tras casi hora si notar posible rotura desgarro deber notar día empezar australia brisbanetennis
0,día sobrecargado emoción dar día así sobrepienso
0,hoy si chisme andar sobrecargado
0,acabar soltar lista cliente pedófilo epstein site sobrecargado mundo entero pendiente ver nombre pedófilo desgraciado violar traficar niño obvio salir bill clinton prince andrew asqueroso cerdo
0,eliminar cosa galeer di cuenta quemado mental físicamente sobrecargado momento llanto salir sentir poder
0,desbordante efervescente costo
0,ver cantar corazón desbordante tema floricienta
0,ver cabalgata ilusión desbordante or costa oeste escocia irenar dani pelús cabalgatartve
0,viernes enero amado dio nuevo amanecer elevo corazón hacia gratitud desbordante gracias regalo día vida amén
0,lpaxfcb hablar lamine igual desbordante valiente último partido raphinha robar puesto claramente minuto final vién arriba partido favor lamine yamal decisivo hecho
0,manera altamente probable llegar pto encontrar apartamento inundado
0,dejar patio inundado alfombra impoluta mugre ajajajaj q malario
0,conicet tendrio q haber inundar pai repelent
0,juanchaco buenaventura inundado basura temporada turismo ye recibir basurero muelle malo impresion turista caracolradio gobvalle enteratecali notiminuto mabellaranews claraluzroldir blupacifico hotelmaguipi petrogustavo
0,diciembre amanecimos apartamento inundado jajajajaja
0,amar kim daniel si aparecido hoy colapsar
0,día luz hgsjdd compañero eps secuestrado nadie hablar personal salud sistema salud guatemala colapsado ojalá mpguatemala pdhgt drgiammattei interesar menos situación
0,colapsado aburrido vida
0,colapsado aguantar cosa
0,caída págín movistar intento entrar compra ver entrada cargo desesperare colapsado
0,entonces aprendimos si desbordado aguantar dos razón hambrir sueño hoy resultar ser segundo hijo dormido p m
0,ver presidente ego desbordado aire superioridad bastantante indolencio tragedia vivir pais
0,dio desbordado
0,termino lavar loza tomo vaso agua desbordado plato olla sucio
0,simplemente obstruí inodoro comenzar desbordado ataque pánico así usé émbolo tanto jodidamente tonto luego comenzar desbordar él aún luego comencé temblar poner toalla alrededor fondo baño hacer
0,mañana viajo lejos solo primero vez demasiado nervioso preocupado
0,colombia enero septiembre homicidio cometido menor edad reincident además menor edad capturados hurto presidente ver preocupado menor edad colombio
0,jamás visto papá tanto preocupado enojado
0,to preocupado
